region,zone,yield_kg_ha,year,yield_tpha,Field,station_name,g_pente_mo,drainage,tmean,tmax,tmin,rain_mm,ppt_mm,snow_cm,remplissage_ndvi_var,levee_ndvi_var,levee_evi,v6_v8_ndvi_entropy,vt_r1_vv,v6_v8_glcm_homogeneity,vt_r1_ndvi_var,remplissage_vv,vt_r1_vh,vt_r1_evi,levee_vh,ndvi_max,levee_vv,v6_v8_vh,remplissage_ndvi_entropy,remplissage_ndwi,levee_lai,vt_r1_ndvi_entropy,vt_r1_vv_vh,levee_glcm_homogeneity
6,3,10422,2010,10.422,F7,VERCHÈRES,0.0,SRE,18.78466666666667,24.16887417218543,13.329605263157896,558.5,558.5,0.0,0.3745401188473625,0.26520236768172545,0.37625958553091576,0.08023374566164221,-19.137045394779733,0.8887480798689772,0.742706521199981,-12.52281350646854,-14.75556158374651,0.3473433262588427,-9.108434425996194,0.620660479824584,-15.142708311051067,-10.413104118240073,0.742881493667939,0.592482901082737,3.2544384076137884,0.05034952696935324,-23.375407303866545,0.9977493890102006
6,3,8927,2011,8.927,F7,VERCHÈRES,0.0,SRE,18.93065693430657,24.362676056338028,13.432624113475176,577.8,577.8,0.0,0.9507143064099162,0.24398964337908358,0.08350071669866876,0.5245113895702547,-7.073283629577606,0.9556514982297534,0.42549333444807536,-15.964646425255417,-11.395444415832934,0.8998333456872725,-24.306594665470335,0.20131210782243325,-16.914205054902617,-5.663090004014293,0.7379173933540254,-0.4561079211631025,2.6258648454267153,0.05276525785960262,-5.148364090244733,0.4517394759814438
6,3,9828,2012,9.828,F7,VERCHÈRES,0.0,SRE,18.99083333333333,24.60384615384616,13.420454545454543,512.9,512.9,0.0,0.7319939418114051,0.9730105547524456,0.7771469159274368,0.4103968269896615,-24.73996152978528,0.8621276172654506,0.3459349925469629,-13.267830736490518,-24.166541987952314,0.0218233967754895,-13.343863298330207,0.3951377432643186,-14.381246431758123,-20.514130334299097,0.5214490241668801,0.38471784492211625,3.631919289597592,0.6920112559466547,-21.875969841388013,0.35472855673021264
6,3,10901,2013,10.901,F7,VERCHÈRES,0.0,SRE,18.338317757009342,24.06062992125984,12.55084745762712,512.6,512.6,0.0,0.5986584841970366,0.3930977246667604,0.558404249735805,0.9823786169086064,-23.28982938291064,0.8095160747248781,0.3710387629846027,-21.63971584510273,-23.304159679083934,0.6637896861755891,-5.091249676173803,0.03945953289089932,-13.09736650188637,-11.73905616393155,0.06845871933357806,-0.47187603061256245,6.099575669398948,0.4579289944340279,-5.231580120730378,0.40070416683446664
6,3,9510,2014,9.51,F7,VERCHÈRES,0.0,SRE,18.93404255319149,24.13375,13.01851851851852,300.9,300.9,0.0,0.15601864044243652,0.8920465551771133,0.4242220092469763,0.11203890216805235,-20.842274897079456,0.6552419806390217,0.9876495637360578,-10.262525101116358,-10.673532238746354,0.9633944342135504,-7.886078123249213,0.47554603748682667,-24.801523577443287,-10.162073460825699,0.3711129384301278,0.8781369589005832,1.0080162229119543,0.2265216260361057,-5.454401348671055,0.11514617839520114
6,3,12317,2015,12.317,F7,VERCHÈRES,0.0,SRE,19.3488188976378,24.774436090225564,13.555555555555555,552.0,552.0,0.0,0.15599452033620265,0.6311386259972629,0.906354385094736,0.39785559904574164,-24.469355922523604,0.5508573706091393,0.04010919141248248,-7.74405844913543,-23.558313280026532,0.5601681834618419,-14.571086219128212,0.5430245839576632,-15.718096810929922,-8.031492418189504,0.9207666084633573,0.2727485630667488,1.571353726976139,0.6139703063252326,-9.123637921839208,0.8832736014262238
6,3,12562,2016,12.562,F7,VERCHÈRES,0.0,SRE,18.889256198347105,24.688524590163933,13.0327868852459,347.2,347.2,0.0,0.05808361216819946,0.7948113035416484,0.11119748230615134,0.9694704332753689,-21.371291298204053,0.08698675991141014,0.8670314961224486,-20.665203998184488,-23.57486544469483,0.9368224620330918,-23.727181814267155,0.2277497361032096,-5.730015182248234,-16.547416059727816,0.584448909757426,-0.3509763996493158,7.611558605304736,0.2528581182501112,-11.81154075836005,0.414825655521352
6,3,12794,2017,12.794,F7,VERCHÈRES,0.0,SRE,18.404225352112675,23.657042253521126,12.960689655172413,398.2,398.2,0.0,0.8661761457749352,0.5026370931051921,0.49262510429085915,0.8655071258939803,-13.339168780606157,0.4084532130706987,0.5786754085723934,-23.085708889596766,-24.75783049530225,0.05225787928602377,-8.372529712285804,0.9640288471655137,-14.619354397409026,-18.941381887191415,0.5383319432557134,-0.4609762754154547,1.403933019050859,0.5776317543444226,-13.443858994978306,0.3872744114248413
6,3,11571,2018,11.571,F7,VERCHÈRES,0.0,SRE,,25.53856209150327,13.458169934640525,498.2,498.2,0.0,0.6011150117432088,0.5769038846263591,0.011353644767419069,0.8170720709492799,-16.571508988150043,0.372688517012314,0.43861541918959046,-24.52722827907327,-5.869972034010399,0.4187933190741614,-13.02042983645579,0.909454610937242,-11.449154650820937,-18.494097319539378,0.2688535143821935,-0.618146829856713,4.541818543448437,0.35920874698269034,-7.6779690924433055,0.6596902729304743
6,3,8983,2019,8.983,F7,VERCHÈRES,0.0,SRE,,25.627868852459017,13.402459016393442,299.7,299.7,0.0,0.7080725777960455,0.4925176938188639,0.46866064199412627,0.25790282704493983,-7.146565778460502,0.2597537837603262,0.7252576604151365,-12.160569991134679,-10.24983281081986,0.26015779096205116,-22.701340058808665,0.7221432354559059,-18.762722841662338,-10.747573338029744,0.3684489199165789,0.3892819177874556,4.634515733295503,0.823552226611819,-19.21120956761024,0.4420334209311235
